Date = 2017-04-01 ; user = Sony ; Software = MSXML 4.0 SP3 Parser
Date = 2017-04-01 ; user = Sony ; Software = MSXML 4.0 SP3 Parser (KB2758694)
Date = 2017-04-01 ; user = Sony ; Software = Media Gallery
Date = 2017-04-01 ; user = Sony ; Software = Memory Profiler
Date = 2017-04-01 ; user = Sony ; Software = Mesh Runtime
Date = 2017-04-01 ; user = Sony ; Software = Microsoft .NET Framework 4 Multi-Targeting Pack
Date = 2017-04-01 ; user = Sony ; Software = Microsoft .NET Framework 4.5 Multi-Targeting Pack
Date = 2017-04-01 ; user = Sony ; Software = Microsoft .NET Framework 4.5 SDK
Date = 2017-04-01 ; user = Sony ; Software = Microsoft .NET Framework 4.5.1 Multi-Targeting Pack
Date = 2017-04-01 ; user = Sony ; Software = Microsoft .NET Framework 4.5.1 Multi-Targeting Pack (ENU)
Date = 2017-04-01 ; user = Sony ; Software = Microsoft .NET Framework 4.5.1 RC Multi-Targeting Pack for Windows Store Apps
Date = 2017-04-01 ; user = Sony ; Software = Microsoft .NET Framework 4.5.1 RC Multi-Targeting Pack for Windows Store Apps (ENU)
Date = 2017-04-01 ; user = Sony ; Software = Microsoft .NET Framework 4.5.1 SDK
Date = 2017-04-01 ; user = Sony ; Software = Microsoft .NET Framework 4.6.1
Date = 2017-04-01 ; user = Sony ; Software = Microsoft .NET Framework 4.6.1 Developer Pack
Date = 2017-04-01 ; user = Sony ; Software = Microsoft .NET Framework 4.6.1 SDK
Date = 2017-04-01 ; user = Sony ; Software = Microsoft .NET Framework 4.6.1 Targeting Pack
Date = 2017-04-01 ; user = Sony ; Software = Microsoft .NET Framework 4.6.1 Targeting Pack (ENU)
Date = 2017-04-01 ; user = Sony ; Software = Microsoft ASP.NET Diagnostic Pack for Visual Studio
Date = 2017-04-01 ; user = Sony ; Software = Microsoft ASP.NET MVC 4 - Visual Studio 2013 - ENU
Date = 2017-04-01 ; user = Sony ; Software = Microsoft ASP.NET MVC 4 Runtime
Date = 2017-04-01 ; user = Sony ; Software = Microsoft ASP.NET Web Frameworks and Tools - Visual Studio 2013 - ENU
Date = 2017-04-01 ; user = Sony ; Software = Microsoft ASP.NET Web Pages 2 - Visual Studio 2013 - ENU
Date = 2017-04-01 ; user = Sony ; Software = Microsoft ASP.NET Web Pages 2 Runtime
Date = 2017-04-01 ; user = Sony ; Software = Microsoft ASP.NET and Web Tools 2013.4 - Visual Studio 2013
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Access MUI (English) 2013
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Access Setup Metadata MUI (English) 2013
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Advertising SDK for Windows 8.1 - ENU
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Advertising SDK for Windows Phone 8.1 XAML - ENU
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Advertising Service Extension for Visual Studio
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Application Error Reporting
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Azure Mobile Services SDK
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Azure Mobile Services Tools for Visual Studio - v1.3
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Azure Shared Components for Visual Studio 2013 - v1.3
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Azure Tools for LightSwitch for Visual Studio 2013 - June 2014 Update - v2.4
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Build Tools 14.0 (amd64)
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Build Tools 14.0 (x86)
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Build Tools Language Resources 14.0 (amd64)
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Build Tools Language Resources 14.0 (x86)
Date = 2017-04-01 ; user = Sony ; Software = Microsoft C++ REST SDK for Visual Studio 2013
Date = 2017-04-01 ; user = Sony ; Software = Microsoft DCF MUI (English) 2013
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Excel MUI (English) 2013
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Exchange Web Services Managed API 2.1
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Expression Blend SDK for .NET 4
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Groove MUI (English) 2013
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Help Viewer 2.1
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Identity Extensions
Date = 2017-04-01 ; user = Sony ; Software = Microsoft InfoPath MUI (English) 2013
Date = 2017-04-01 ; user = Sony ; Software = Microsoft LightSwitch for Visual Studio 2013 Core
Date = 2017-04-01 ; user = Sony ; Software = Microsoft LightSwitch for Visual Studio 2013 CoreRes - ENU
Date = 2017-04-01 ; user = Sony ; Software = Microsoft LightSwitch for Visual Studio 2013 v4.5 Tools
Date = 2017-04-01 ; user = Sony ; Software = Microsoft LightSwitch for Visual Studio 2013 v4.5 ToolsRes - ENU
Date = 2017-04-01 ; user = Sony ; Software = Microsoft LightSwitch v4.5 SDK
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Lync MUI (English) 2013
Date = 2017-04-01 ; user = Sony ; Software = Microsoft NuGet - Visual Studio 2013
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Office 2013 Developer Tools for Microsoft Visual Studio (x64)
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Office 2013 Developer Tools for Microsoft Visual Studio (x64) - ENU Language Pack
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Office 64-bit Components 2013
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Office Developer Tools for Visual Studio
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Office Developer Tools for Visual Studio ENU Language Pack
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Office OSM MUI (English) 2013
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Office OSM UX MUI (English) 2013
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Office Professional Plus 2013
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Office Proofing (English) 2013
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Office Proofing Tools 2013 - English
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Office Proofing Tools 2013 - Español
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Office Shared 64-bit MUI (English) 2013
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Office Shared 64-bit Setup Metadata MUI (English) 2013
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Office Shared MUI (English) 2013
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Office Shared Setup Metadata MUI (English) 2013
Date = 2017-04-01 ; user = Sony ; Software = Microsoft OneNote MUI (English) 2013
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Outlook MUI (English) 2013
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Portable Library Multi-Targeting Pack
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Portable Library Multi-Targeting Pack Language Pack - enu
Date = 2017-04-01 ; user = Sony ; Software = Microsoft PowerPoint MUI (English) 2013
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Publisher MUI (English) 2013
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Report Viewer Add-On for Visual Studio 2013
Date = 2017-04-01 ; user = Sony ; Software = Microsoft SQL Server 2005 Compact Edition [ENU]
Date = 2017-04-01 ; user = Sony ; Software = Microsoft SQL Server 2012 Command Line Utilities
Date = 2017-04-01 ; user = Sony ; Software = Microsoft SQL Server 2012 Data-Tier App Framework
Date = 2017-04-01 ; user = Sony ; Software = Microsoft SQL Server 2012 Data-Tier App Framework  (x64)
Date = 2017-04-01 ; user = Sony ; Software = Microsoft SQL Server 2012 Express LocalDB
Date = 2017-04-01 ; user = Sony ; Software = Microsoft SQL Server 2012 Management Objects
Date = 2017-04-01 ; user = Sony ; Software = Microsoft SQL Server 2012 Management Objects  (x64)
Date = 2017-04-01 ; user = Sony ; Software = Microsoft SQL Server 2012 Native Client
Date = 2017-04-01 ; user = Sony ; Software = Microsoft SQL Server 2012 T-SQL Language Service
Date = 2017-04-01 ; user = Sony ; Software = Microsoft SQL Server 2012 Transact-SQL ScriptDom
Date = 2017-04-01 ; user = Sony ; Software = Microsoft SQL Server 2014 Express LocalDB
Date = 2017-04-01 ; user = Sony ; Software = Microsoft SQL Server 2014 Management Objects
Date = 2017-04-01 ; user = Sony ; Software = Microsoft SQL Server 2014 Management Objects  (x64)
Date = 2017-04-01 ; user = Sony ; Software = Microsoft SQL Server 2014 T-SQL Language Service
Date = 2017-04-01 ; user = Sony ; Software = Microsoft SQL Server 2014 Transact-SQL ScriptDom
Date = 2017-04-01 ; user = Sony ; Software = Microsoft SQL Server Compact 4.0 SP1 x64 ENU
Date = 2017-04-01 ; user = Sony ; Software = Microsoft SQL Server Data Tools - enu (12.0.41012.0)
Date = 2017-04-01 ; user = Sony ; Software = Microsoft SQL Server Data Tools Build Utilities - enu (12.0.30919.1)
Date = 2017-04-01 ; user = Sony ; Software = Microsoft SQL Server System CLR Types
Date = 2017-04-01 ; user = Sony ; Software = Microsoft SQL Server System CLR Types (x64)
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Security Client
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Security Essentials
Date = 2017-04-01 ; user = Sony ; Software = Microsoft SharePoint 2013 Developer Tools for Visual Studio 2012 Nuget Package
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Silverlight
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Silverlight 5 SDK
Date = 2017-04-01 ; user = Sony ; Software = Microsoft System CLR Types for SQL Server 2012
Date = 2017-04-01 ; user = Sony ; Software = Microsoft System CLR Types for SQL Server 2012 (x64)
Date = 2017-04-01 ; user = Sony ; Software = Microsoft System CLR Types for SQL Server 2014
Date = 2017-04-01 ; user = Sony ; Software = Microsoft System CLR Types for SQL Server 2016
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Team Foundation Server 2013 Update 4 Object Model (x64)
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Team Foundation Server 2013 Update 4 Object Model Language Pack (x64) - ENU
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual C++  ARM Libraries
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual C++  x64 Libraries
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual C++  x64 Native Compilers
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual C++  x64 Native Compilers - ENU Resources
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual C++  x64-arm Cross Compilers
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual C++  x64-arm Cross Compilers - ENU Resources
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual C++  x64-x86 Cross Compilers
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual C++  x64-x86 Cross Compilers - ENU Resources
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual C++  x86 Libraries
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual C++ 2005 Redistributable (x64)
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161
